,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Aktau,KZ,77.58,few clouds,43.65,51.2,Silk Way Hotel
394,Puerto Escondido,MX,89.28,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
395,Sao Bernardo,BR,87.24,broken clouds,-3.36,-42.42,Esa Hotel
399,Balikpapan,ID,77.22,broken clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
407,Taft,IR,87.75,few clouds,31.75,54.21,بوم گردی حاجی زینل تفت
408,Jawhar,SO,75.99,overcast clouds,2.78,45.5,cosoble spare parts
413,Gonzalez,US,83.55,clear sky,30.58,-87.29,Motel Air Inc
414,Cape Coast,GH,81.27,overcast clouds,5.11,-1.25,Samrit Hotel
418,Sakakah,SA,92.77,broken clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
419,Ha Tinh,VN,84.33,overcast clouds,18.33,105.9,Phú Quý
422,Lodwar,KE,87.93,few clouds,3.12,35.6,Solmar Gracious Hotel
424,Harper,LR,79.56,light rain,4.38,-7.72,Screensaver
426,Pueblo Bello,CO,85.69,broken clouds,8.2,-76.53,
427,Najran,SA,90.25,clear sky,17.49,44.13,محمد هادي ال فطيح
429,Cockburn Town,TC,84.16,broken clouds,21.46,-71.14,Osprey Beach Hotel
430,Kingsville,US,89.69,scattered clouds,27.52,-97.86,Econo Lodge Kingsville
431,Kimbe,PG,75.13,light rain,-5.55,150.14,Kimbe Bay Hotel
433,Goure,NE,90.99,clear sky,13.98,10.27,
434,Barrancabermeja,CO,91.02,broken clouds,7.07,-73.85,Hotel Millenium Barrancabermeja
435,Cururupu,BR,84.25,scattered clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
437,Sibut,CF,80.62,overcast clouds,5.72,19.07,
439,Sao Paulo De Olivenca,BR,87.73,overcast clouds,-3.38,-68.87,
442,Candido Mendes,BR,82.92,light rain,-1.45,-45.72,Quebrada Do Mlk PJL
443,Gigmoto,PH,80.49,overcast clouds,13.78,124.39,Cj's Travellers Inn
444,Tarakan,ID,81.9,broken clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
446,Sibolga,ID,76.08,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
448,San Francisco,US,83.62,few clouds,37.77,-122.42,Travelodge by Wyndham San Francisco Central
451,Kandrian,PG,77.7,moderate rain,-6.22,149.55,Kandrian Station
452,Santa Isabel Do Rio Negro,BR,86.02,scattered clouds,-0.41,-65.02,Hotel GSA
457,San Cristobal,VE,78.98,broken clouds,7.77,-72.22,Pirineos
458,Vanimo,PG,76.77,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
461,Annau,TM,92.7,broken clouds,37.89,58.52,Buzmein Sokak
466,Matay,EG,91.47,clear sky,28.42,30.78,Nag Aespen
467,Bafq,IR,89.92,clear sky,31.61,55.41,Alamdar Hotel
468,Houma,US,82.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
470,Piacabucu,BR,79.59,few clouds,-10.41,-36.43,Piaçabuçu News
472,Zhifang,CN,75.18,overcast clouds,30.35,114.32,Echarm Hotel Jiangxia Zhongbai Plaza
473,Eydhafushi,MV,83.21,broken clouds,5.1,73.07,Soneva Fushi
476,Kutum,SD,88.83,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
478,Aripuana,BR,91.98,overcast clouds,-9.17,-60.63,
479,Kisangani,CD,79.16,overcast clouds,0.52,25.2,Grand Ramela Hotel
480,Tabas,IR,93.56,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
481,Sinnamary,GF,81.36,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
482,Semnan,IR,85.32,clear sky,35.57,53.4,Semnan Tourist Hotel
484,Winneba,GH,84.67,scattered clouds,5.35,-0.62,Windy Lodge & Beach Resort
485,Sao Jose Da Coroa Grande,BR,78.4,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
487,Simbahan,PH,84.63,light rain,6.3,120.58,
488,Marsh Harbour,BS,79.32,light rain,26.54,-77.06,Abaco Beach Resort
491,Caravelas,BR,79.88,few clouds,-17.71,-39.25,Pousada dos Navegantes
505,Camocim,BR,81.72,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
507,Puerto Boyaca,CO,91.0,scattered clouds,5.98,-74.59,hotel juanes
509,Baudh,IN,86.7,heavy intensity rain,20.84,84.32,Hotel Parijat Palace
512,Canyon Lake,US,86.41,overcast clouds,29.88,-98.26,The Lodge At Turkey Cove
