city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Raudeberg,NO,61.99,5.14,56.98,84,20,10.69,few clouds
183,Manggar,ID,-2.88,108.27,80.51,81,9,4.14,clear sky
184,Dharampur,IN,20.53,73.18,83.77,75,82,7.85,broken clouds
185,Orsha,BY,54.52,30.41,47.62,73,100,7.96,overcast clouds
186,Ahipara,NZ,-35.17,173.17,56.89,86,65,23.67,light rain
187,Saint Anthony,US,45.02,-93.22,60.19,85,90,3.0,overcast clouds
188,Kavaratti,IN,10.57,72.64,83.17,75,90,17.16,overcast clouds
189,Palaikastron,GR,35.20,26.25,68.0,73,6,8.03,clear sky
190,Bonfim,BR,3.08,-59.95,79.84,79,99,9.33,overcast clouds
191,Nantucket,US,41.28,-70.10,51.8,93,90,14.97,mist
192,Luau,AO,-10.71,22.22,61.48,36,5,4.0,clear sky
193,Bialystok,PL,53.13,23.15,52.97,52,17,8.63,few clouds
194,Qandala,SO,11.47,49.87,90.16,53,3,10.04,clear sky
195,Novyy Urengoy,RU,66.08,76.63,41.54,80,100,9.69,overcast clouds
196,Qaanaaq,GL,77.48,-69.36,32.54,92,100,5.5,overcast clouds
197,Touho,NC,-20.78,165.23,67.08,70,27,6.58,scattered clouds
198,Olafsvik,IS,64.89,-23.71,39.9,94,100,4.99,light rain
199,Verkhoyansk,RU,67.54,133.38,47.97,72,100,7.45,overcast clouds
200,Comodoro Rivadavia,AR,-45.87,-67.50,40.86,93,40,2.3,scattered clouds
201,Lompoc,US,34.64,-120.46,66.2,77,90,11.5,overcast clouds
202,Lazaro Cardenas,MX,17.96,-102.20,88.66,55,74,9.82,broken clouds
203,Roald,NO,62.58,6.13,58.12,76,0,5.75,clear sky
204,Kodinsk,RU,58.69,99.18,37.81,94,96,1.1,overcast clouds
205,Cherskiy,RU,68.75,161.30,55.89,39,0,8.1,clear sky
206,San Quintin,MX,30.48,-115.95,65.5,62,40,15.14,scattered clouds
207,Bogalusa,US,30.79,-89.85,82.74,47,1,8.05,clear sky
208,Kununurra,AU,-15.77,128.73,60.78,77,39,3.44,scattered clouds
209,Sokoni,TZ,-6.43,39.55,78.66,76,17,12.21,few clouds
210,Monrovia,LR,6.30,-10.80,74.97,83,100,9.19,light rain
211,Japura,ID,-0.32,102.35,74.64,98,74,3.36,broken clouds
212,Bayji,IQ,34.93,43.49,88.18,16,70,10.36,broken clouds
213,Anadyr,RU,64.75,177.48,41.5,70,0,6.78,clear sky
214,Kashi,CN,39.45,75.98,76.21,19,92,8.34,overcast clouds
215,Hamilton,US,39.18,-84.53,63.1,67,90,1.01,overcast clouds
216,Alghero,IT,40.56,8.32,68.09,77,0,5.75,clear sky
217,Usinsk,RU,65.99,57.53,39.87,68,100,11.86,overcast clouds
218,Dzaoudzi,YT,-12.79,45.27,78.69,69,0,5.75,clear sky
219,Boddam,GB,57.47,-1.78,66.38,92,11,15.12,few clouds
220,Narsaq,GL,60.92,-46.05,48.42,61,3,0.92,clear sky
221,Znamenskoye,RU,57.13,73.83,63.37,51,40,8.9,scattered clouds
222,Nanortalik,GL,60.14,-45.24,37.76,85,29,16.22,scattered clouds
223,Lukhovka,RU,54.15,45.26,45.93,79,100,14.41,overcast clouds
224,Ambon,ID,-3.70,128.18,79.97,79,86,9.24,overcast clouds
225,Barstow,US,34.90,-117.02,90.3,17,0,3.71,clear sky
226,Ballina,AU,-28.87,153.57,57.24,77,75,8.05,broken clouds
227,Buin,CL,-33.73,-70.75,69.06,31,100,3.49,overcast clouds
228,Panaba,MX,21.28,-88.27,92.21,41,97,7.38,overcast clouds
229,Madimba,TZ,-10.40,40.33,74.16,87,68,8.08,light rain
230,Sarangani,PH,5.40,125.46,79.12,81,100,8.79,overcast clouds
